station/location;date;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;sre000m0;tre200m0;tre200mn;tre200mx;ure200m0
GVE;19500101;-;-;-;969.9;88;-;-;0;5.1;-
GVE;19500201;-;-;-;966.2;63;-;-;0;1.4;-
GVE;19500301;-;-;-;969.1;8;-;-;0;1.8;-
GVE;19500401;-;-;-;961.2;48.6;-;-;0.1;2.4;-
GVE;19500501;-;-;-;965.9;50;-;-;0.4;3;-
GVE;19500601;-;-;-;968.8;38;-;-;0.8;3.7;-
GVE;19500701;-;-;-;966.9;45;-;-;0.9;3.7;-
GVE;19500801;-;-;-;965.7;101.6;-;-;0.7;3.1;-
GVE;19500901;-;-;-;967.4;129;-;-;0.3;2.8;-
GVE;19501001;-;-;-;969.7;22;-;-;0;2.1;-
GVE;19501101;-;-;-;963.8;317.3;-;-;0;1.4;-
GVE;19501201;-;-;-;958.9;41.9;-;-;0;5.2;-
GVE;19510101;-;-;-;963.4;67.1;-;-;0;9.8;-
GVE;19510201;-;-;-;959.2;109.1;-;-;0;11.5;-
GVE;19510301;-;-;-;960.1;105.4;-;-;0.1;19.9;-
GVE;19510401;-;-;-;966.2;43.6;-;-;0.2;23;-
GVE;19510501;-;-;-;961.4;93;-;-;1.6;27.6;-
GVE;19510601;-;-;-;966.9;69.5;-;-;7.4;31.2;-
GVE;19510701;-;-;-;968.8;59.4;-;-;7;32;-
GVE;19510801;-;-;-;965.9;92.3;-;-;7.5;29.9;-
GVE;19510901;-;-;-;968;54.7;-;-;3.1;28.4;-
GVE;19511001;-;-;-;967.2;61.1;-;-;0;20.6;-
GVE;19511101;-;-;-;961.6;137.8;-;-;0.4;15.4;-
GVE;19511201;-;-;-;971.5;39.1;-;-;0.2;-;-
GVE;19520101;-;-;-;965.1;74.1;-;-;0;-;-
GVE;19520201;-;-;-;967.4;35;-;-;0;9.7;-
GVE;19520301;-;-;-;962.7;96.9;-;-;2;19;-
GVE;19520401;-;-;-;966;39.8;-;-;0.5;24;-
GVE;19520501;-;-;-;966.2;58.1;-;-;3;25.7;-
GVE;19520601;-;-;-;968.7;80.3;-;-;7.1;32.5;-
GVE;19520701;-;-;-;967.8;21.2;-;-;7.2;36.8;-
