station/location;date;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;sre000m0;tre200m0;tre200mn;tre200mx;ure200m0
SIO;19530701;-;-;-;960.7;-;-;-;6;30.8;-
SIO;19530801;-;-;-;963;-;-;-;5.5;30.5;-
SIO;19530901;-;-;-;961.3;-;-;-;4;28.8;-
SIO;19531001;-;-;-;962;-;-;-;-1.4;22;-
SIO;19531101;-;-;-;968.8;-;-;-;-5.5;14.8;-
SIO;19531201;-;-;-;966.1;-;-;-;-11;14.5;-
SIO;19540101;-;-;-;959.9;-;-;-;-14.2;10;-
SIO;19540201;-;-;-;954.1;-;-;-;-12.5;13;-
SIO;19540301;-;-;-;954.3;-;-;-;-4.5;20.2;-
SIO;19540401;-;-;-;960;-;-;-;-2.1;21;-
SIO;19540501;-;-;-;957.1;-;-;-;-1;28.5;-
SIO;19540601;-;-;-;959.2;-;-;-;4;31.2;-
SIO;19540701;-;-;-;959.7;-;-;-;2.6;29.8;-
SIO;19540801;-;-;-;958.9;-;-;-;4.9;31;-
SIO;19540901;-;-;-;963.2;-;-;-;-0.5;28.2;-
SIO;19541001;-;-;-;964.1;-;-;-;-1.2;21;-
SIO;19541101;-;-;-;960.7;-;-;-;-8.8;16.6;-
SIO;19541201;-;-;-;962.1;-;-;-;-7.4;11.4;-
SIO;19550101;-;-;-;955.3;-;-;-;-11.5;15.6;-
SIO;19550201;-;-;-;949.9;-;-;-;-11.5;15;-
SIO;19550301;-;-;-;956.2;-;-;-;-10.8;21.5;-
SIO;19550401;-;-;-;962.8;-;-;-;-4;26.4;-
SIO;19550501;-;-;-;960.8;-;-;-;-0.2;29;-
SIO;19550601;-;-;-;960.3;-;-;-;2;29.4;-
SIO;19550701;-;-;-;960;-;-;-;4.8;31.5;-
SIO;19550801;-;-;-;961.5;-;-;-;4.2;28.4;-
SIO;19550901;-;-;-;961.8;-;-;-;0.1;24.6;-
SIO;19551001;-;-;-;959.8;-;-;-;-4.8;18.8;-
SIO;19551101;-;-;-;962.7;-;-;-;-12.3;20.7;-
SIO;19551201;-;-;-;959.8;-;-;-;-7.3;12.6;-
SIO;19560101;-;-;-;959.4;-;-;-;-14;9.5;-
SIO;19560201;-;-;-;956.6;-;-;-;-17;10.7;-
SIO;19560301;-;-;-;959.1;-;-;-;-7.5;20.2;-
SIO;19560401;-;-;-;954.6;-;-;-;-6.8;21.5;-
SIO;19560501;-;-;-;963.4;-;-;-;0.8;31.7;-
SIO;19560601;-;-;-;961.7;-;-;-;1.5;27.3;-
SIO;19560701;-;-;-;960.7;-;-;-;7.3;29.5;-
SIO;19560801;-;-;-;958.9;-;-;-;3.5;29.6;-
SIO;19560901;-;-;-;962.4;-;-;-;6.4;26.5;-
SIO;19561001;-;-;-;965.3;-;-;-;-2.6;23.5;-
SIO;19561101;-;-;-;961.8;-;-;-;-9.2;15.4;-
SIO;19561201;-;-;-;967.1;-;-;-;-13;10.3;-
SIO;19570101;-;-;-;966.6;-;-;-;-16.6;9.2;-
SIO;19570201;-;-;-;958.3;-;-;-;-7;16.8;-
SIO;19570301;-;-;-;960.6;-;-;-;-4.2;22.6;-
SIO;19570401;-;-;-;958.6;-;-;-;-4.5;23.4;-
SIO;19570501;-;-;-;957;-;-;-;-2.3;25;-
SIO;19570601;-;-;-;960.7;-;-;-;5;32;-
SIO;19570701;-;-;-;960.6;-;-;-;6.5;34.4;-
SIO;19570801;-;-;-;960.5;-;-;-;5;30.6;-
SIO;19570901;-;-;-;961.4;-;-;-;0.2;27.4;-
SIO;19571001;-;-;-;963.1;-;-;-;0;22.3;-
SIO;19571101;-;-;-;961.2;-;-;-;-7.4;18;-
SIO;19571201;-;-;-;960.1;-;-;-;-10;13.4;-
SIO;19580101;-;-;53;959.9;59;-;-1.9;-14.9;10.6;-
SIO;19580201;-;-;69;959.5;139.4;-;2.9;-9.5;17.5;-
SIO;19580301;-;-;64;953.2;20.6;-;3.2;-6.2;19;-
SIO;19580401;-;-;60;956.8;4.2;-;7.7;-3.4;22.5;-
SIO;19580501;-;-;65;961.1;18.6;-;15.8;3;31;-
SIO;19580601;-;-;64;958.4;49.8;-;16.1;5.4;28;-
SIO;19580701;-;-;58;960;54.7;-;18.9;8.5;32.6;-
SIO;19580801;-;-;55;959.6;37.7;-;18.6;8;34;-
SIO;19580901;-;-;50;962.4;46.8;-;16.3;3.9;27.8;-
SIO;19581001;-;-;61;965.1;47.8;-;8.4;-2.7;22;-
SIO;19581101;-;-;76;962.3;30.7;-;3.4;-4.8;13.4;-
SIO;19581201;-;-;65;953.9;75.9;-;1.2;-11.2;12;-
SIO;19590101;-;-;61.3;960;80.1;-;-0.7;-11.5;10;81.7
SIO;19590201;-;-;18.8;972.3;0.2;-;2.7;-9.2;16;75.2
