station/location;date;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;sre000m0;tre200m0;tre200mn;tre200mx;ure200m0
SMA;18640101;-;-;76;968.5;23.6;-;-5.7;-;-;93.8
SMA;18640201;-;-;-;957;31.8;-;-0.6;-;-;88.1
SMA;18640301;-;-;50;952.4;51.9;-;5.4;-;-;79.1
SMA;18640401;-;-;36;960.9;54.1;-;8;-;-;74.3
SMA;18640501;-;-;48;958.5;90.8;-;13.6;-;-;80.2
SMA;18640601;-;-;65;960.9;173;-;15.9;-;-;84.9
SMA;18640701;-;-;49;961.7;86.8;-;18;-;-;81.5
SMA;18640801;-;-;39;962.8;38.2;-;16.3;-;-;81.1
SMA;18640901;-;-;47;962.9;80.2;-;13.9;-;-;84.5
SMA;18641001;-;-;60;955.6;17.9;-;7.7;-;-;83.8
SMA;18641101;-;-;82;956.5;79.7;-;3.4;-;-;88.5
SMA;18641201;-;-;89;961.2;3.7;-;-3.4;-;-;95.7
SMA;18650101;-;-;78;951.3;58.5;-;0.9;-;-;86.8
SMA;18650201;-;-;76;956.8;51;-;-2;-;-;90
SMA;18650301;-;-;74;952.7;52.8;-;-0.3;-;-;85.5
SMA;18650401;-;-;30;963.5;4.5;-;13.1;-;-;71
SMA;18650501;-;-;48;961.4;69.3;-;16.5;-;-;75.2
SMA;18650601;-;-;46;964.3;51.1;-;17.2;-;-;69.3
SMA;18650701;-;-;47;962;89.2;-;20.1;-;-;75.9
SMA;18650801;-;-;68;960.4;201;-;16.8;-;-;84.7
SMA;18650901;-;-;16;968.5;0;-;16.4;-;-;72.5
SMA;18651001;-;-;62;954;79.8;-;10.3;-;-;81.5
SMA;18651101;-;-;73;960.5;63.8;-;5.1;-;-;87.7
SMA;18651201;-;-;85;970;16;-;-1.1;-;-;93.5
SMA;18660101;-;-;63;964.8;74.7;-;2.6;-;-;85.6
SMA;18660201;-;-;76;957.6;163.4;-;4.6;-;-;80.9
SMA;18660301;-;-;80;951.2;113.5;-;4.6;-;-;82.5
SMA;18660401;-;-;61;959.4;120.3;-;10.3;-;-;74.3
SMA;18660501;-;-;63;959.7;119.5;-;11;-;-;69.2
SMA;18660601;-;-;51;961.6;41.1;-;18.7;-;-;68.2
SMA;18660701;-;-;55;961.1;62;-;18.5;-;-;67.1
SMA;18660801;-;-;73;959.7;244.5;-;15.7;-;-;80.8
SMA;18660901;-;-;63;959.8;105.4;-;15.3;-;-;81.1
SMA;18661001;-;-;74;964;31;-;9;-;-;90.5
SMA;18661101;-;-;77;961.8;109.8;-;4.5;-;-;89.1
SMA;18661201;-;-;-;965;122.3;-;2.5;-;-;87.8
SMA;18670101;-;-;-;953.6;123.5;-;-0.3;-;-;93.1
SMA;18670201;-;-;64;967.7;72.8;-;5.6;-;-;80.4
SMA;18670301;-;-;79;953;107.2;-;4.6;-;-;87
SMA;18670401;-;-;77;959.1;145.6;-;9.4;-;-;78.5
SMA;18670501;-;-;50;959.2;125.8;-;14.1;-;-;79.1
SMA;18670601;-;-;60;962.6;221.6;-;16.9;-;-;78.9
SMA;18670701;-;-;59;961.7;52.6;-;17.4;-;-;80.3
SMA;18670801;-;-;56;962.7;192.2;-;18.6;-;-;80.2
SMA;18670901;-;-;53;965.2;140.1;-;15.2;-;-;86.9
SMA;18671001;-;-;78;961.6;193.3;-;7.7;-;-;90.6
SMA;18671101;-;-;64;967.5;28.1;-;1.8;-;-;90.4
SMA;18671201;-;-;90;959;54.6;-;-1.8;-;-;92.5
SMA;18680101;-;-;77;960.1;33.7;-;-1.6;-;-;88.8
SMA;18680201;-;-;50;968.9;6.2;-;3.2;-;-;78.4
SMA;18680301;-;-;66;961.4;64;-;3.5;-;-;80.3
SMA;18680401;-;-;69;959.9;92.8;-;8.5;-;-;74.6
SMA;18680501;-;-;39;962;10.6;-;18.9;-;-;65.5
SMA;18680601;-;-;58;964.4;104.8;-;18.5;-;-;69.5
SMA;18680701;-;-;60;961.6;100.1;-;19.2;-;-;75.4
SMA;18680801;-;-;54;962;84.8;-;18.5;-;-;75.3
SMA;18680901;-;-;42;959.3;93.3;-;16.6;-;-;80.3
SMA;18681001;-;-;78;961.6;186.1;-;9.8;-;-;87.1
SMA;18681101;-;-;78;960.3;52.2;-;1.5;-;-;90.6
SMA;18681201;-;-;84;957.9;121.6;-;5.9;-;-;84.4
SMA;18690101;-;-;74;967.3;19.5;-;-0.8;-;-;90.2
SMA;18690201;-;-;68;966.3;18.8;-;5.8;-;-;77.8
SMA;18690301;-;-;85;948.7;45;-;1.4;-;-;84.8
SMA;18690401;-;-;47;961;90.6;-;11.3;-;-;69
SMA;18690501;-;-;76;956.5;125.5;-;15.2;-;-;72.3
SMA;18690601;-;-;57;962.6;143.3;-;14.6;-;-;70.5
SMA;18690701;-;-;46;963.7;149.1;-;20.7;-;-;74.5
SMA;18690801;-;-;60;964.4;235.4;-;16.5;-;-;77.6
SMA;18690901;-;-;43;962.2;100.8;-;15.4;-;-;78.6
SMA;18691001;-;-;65;963.7;73.8;-;7;-;-;85.2
SMA;18691101;-;-;83;960.7;68.4;-;4.7;-;-;83
SMA;18691201;-;-;88;956.8;44.6;-;-1.1;-;-;92.9
